State,2021-2023,2020-2022,2019-2021,2018-2020 (41),2017-2019 (40)
NA,Median income,Median income,Median income,Median income,Median income
United States,79140,78790,80200,78660,77270
Alabama,62230,63340,64830,63320,62860
Alaska,94120,90540,90490,87420,90190
Arizona,79440,78050,80570,78730,77100
Arkansas,58750,57460,60380,61100,61690
California,89970,90290,91680,89130,87530
Colorado,95090,95550,93240,89980,88360
Connecticut,92410,92640,95750,94330,93820
Delaware,82410,80930,82310,82190,81730
District of Columbia,106100,103500,105100,105400,104100
Florida,69020,67480,67940,67250,66500
Georgia,70570,69540,68440,67620,68290
Hawaii,94680,93740,96960,98190,96730
Idaho,78500,79880,80820,75420,73750
Illinois,85900,85610,88030,86120,84270
Indiana,76110,76520,78640,76100,74200
Iowa,80440,80320,80040,80200,79390
Kansas,81950,82170,86010,82780,77600
Kentucky,60790,62260,64920,65790,64010
Louisiana,60780,61530,61750,60220,58130
Maine,77850,77440,77730,74420,71430
Maryland,107800,110800,111100,108900,105600
Massachusetts,100200,98980,101300,102900,100200
Michigan,73630,73090,74520,74330,72440
Minnesota,91470,92060,92960,91400,89340
Mississippi,52610,51860,52750,52290,52410
Missouri,74620,72770,71950,72700,71620
Montana,75960,71680,70200,68790,70200
Nebraska,86040,84490,86320,83900,80120
Nevada,76190,72940,75910,76450,76350
New Hampshire,95540,97280,102200,101200,97620
New Jersey,95590,98420,101200,97470,93290
New Mexico,59840,59360,60790,60050,58840
New York,80730,80300,82420,81850,80320
North Carolina,68900,69590,71200,68940,65650
North Dakota,78650,77990,78420,79010,78730
Ohio,71390,70350,72620,73560,74880
Oklahoma,66860,64880,66380,65580,66330
Oregon,90210,90600,90080,86830,82470
Pennsylvania,78740,79740,82700,80950,78610
Rhode Island,83230,87210,87070,83740,79220
South Carolina,67790,68280,71360,70850,69660
South Dakota,78110,78240,80400,76310,72310
Tennessee,70100,67300,67070,66050,67290
Texas,77380,77700,78570,77030,74990
Utah,99640,98670,98930,96750,92590
Vermont,81820,79650,84110,83380,83270
Virginia,91640,91540,94160,94840,91770
Washington,94850,95440,97070,95990,93550
West Virginia,55800,55930,59100,61510,60540
Wisconsin,78080,77810,79070,77750,77480
Wyoming,77590,77380,77790,76060,74960
