"State","Period","Median_Income"
NA,"2023","Median income"
NA,"2022","Median income"
NA,"2021","Median income"
NA,"2020","Median income"
NA,"2019","Median income"
"United States","2023","79140"
"United States","2022","78790"
"United States","2021","80200"
"United States","2020","78660"
"United States","2019","77270"
"Alabama","2023","62230"
"Alabama","2022","63340"
"Alabama","2021","64830"
"Alabama","2020","63320"
"Alabama","2019","62860"
"Alaska","2023","94120"
"Alaska","2022","90540"
"Alaska","2021","90490"
"Alaska","2020","87420"
"Alaska","2019","90190"
"Arizona","2023","79440"
"Arizona","2022","78050"
"Arizona","2021","80570"
"Arizona","2020","78730"
"Arizona","2019","77100"
"Arkansas","2023","58750"
"Arkansas","2022","57460"
"Arkansas","2021","60380"
"Arkansas","2020","61100"
"Arkansas","2019","61690"
"California","2023","89970"
"California","2022","90290"
"California","2021","91680"
"California","2020","89130"
"California","2019","87530"
"Colorado","2023","95090"
"Colorado","2022","95550"
"Colorado","2021","93240"
"Colorado","2020","89980"
"Colorado","2019","88360"
"Connecticut","2023","92410"
"Connecticut","2022","92640"
"Connecticut","2021","95750"
"Connecticut","2020","94330"
"Connecticut","2019","93820"
"Delaware","2023","82410"
"Delaware","2022","80930"
"Delaware","2021","82310"
"Delaware","2020","82190"
"Delaware","2019","81730"
"District of Columbia","2023","106100"
"District of Columbia","2022","103500"
"District of Columbia","2021","105100"
"District of Columbia","2020","105400"
"District of Columbia","2019","104100"
"Florida","2023","69020"
"Florida","2022","67480"
"Florida","2021","67940"
"Florida","2020","67250"
"Florida","2019","66500"
"Georgia","2023","70570"
"Georgia","2022","69540"
"Georgia","2021","68440"
"Georgia","2020","67620"
"Georgia","2019","68290"
"Hawaii","2023","94680"
"Hawaii","2022","93740"
"Hawaii","2021","96960"
"Hawaii","2020","98190"
"Hawaii","2019","96730"
"Idaho","2023","78500"
"Idaho","2022","79880"
"Idaho","2021","80820"
"Idaho","2020","75420"
"Idaho","2019","73750"
"Illinois","2023","85900"
"Illinois","2022","85610"
"Illinois","2021","88030"
"Illinois","2020","86120"
"Illinois","2019","84270"
"Indiana","2023","76110"
"Indiana","2022","76520"
"Indiana","2021","78640"
"Indiana","2020","76100"
"Indiana","2019","74200"
"Iowa","2023","80440"
"Iowa","2022","80320"
"Iowa","2021","80040"
"Iowa","2020","80200"
"Iowa","2019","79390"
"Kansas","2023","81950"
"Kansas","2022","82170"
"Kansas","2021","86010"
"Kansas","2020","82780"
"Kansas","2019","77600"
"Kentucky","2023","60790"
"Kentucky","2022","62260"
"Kentucky","2021","64920"
"Kentucky","2020","65790"
"Kentucky","2019","64010"
"Louisiana","2023","60780"
"Louisiana","2022","61530"
"Louisiana","2021","61750"
"Louisiana","2020","60220"
"Louisiana","2019","58130"
"Maine","2023","77850"
"Maine","2022","77440"
